ID,Gazetteer,L1 code,L2 code,L3 code,L4 code,Kew region code,Kew region subdivision,Kew region,Synonym,Notes
1550,New York,7.0000000000000000e+00,7.5000000000000000e+01,NWY,NWY-OO,1.3000000000000000e+01,,North America,,
1551,New Zealand North,5.0000000000000000e+00,5.1000000000000000e+01,NZN,NZN-OO,8.0000000000000000e+00,,New Zealand,,
1552,New Zealand South,5.0000000000000000e+00,5.1000000000000000e+01,NZS,NZS-OO,8.0000000000000000e+00,,New Zealand,,
1553,Newfoundland I.,7.0000000000000000e+00,7.2000000000000000e+01,NFL,NFL-NE,1.3000000000000000e+01,,North America,,excluding St.Pierre-Miquelon
1554,Newfoundland,7.0000000000000000e+00,7.2000000000000000e+01,NFL,,1.3000000000000000e+01,,North America,,including St.Pierre-Miquelon
1555,Ngatik,6.0000000000000000e+00,6.2000000000000000e+01,CRL,CRL-MF,9.0000000000000000e+00,F,Micronesia,,
1556,Nias,4.0000000000000000e+00,4.2000000000000000e+01,SUM,SUM-OO,6.0000000000000000e+00,C,Malay Islands,,
1557,Nicaragua,8.0000000000000000e+00,8.0000000000000000e+01,NIC,NIC-OO,1.4000000000000000e+01,,Central America,,
1558,Nicaraguan Caribbean Is.,8.0000000000000000e+00,8.1000000000000000e+01,SWC,SWC-NC,1.4000000000000000e+01,,Central America,,
1559,Nicholson I.,6.0000000000000000e+00,6.0000000000000000e+01,NUE,NUE-OO,9.0000000000000000e+00,D,Samoan Islands,,part of Beveridge Reef
1560,Nicobar Is.,4.0000000000000000e+00,4.1000000000000000e+01,NCB,NCB-OO,5.0000000000000000e+00,,India,,
1561,Niger,2.0000000000000000e+00,2.2000000000000000e+01,NGR,NGR-OO,1.0000000000000000e+01,A,West Tropical Africa,,
1562,Nigeria,2.0000000000000000e+00,2.2000000000000000e+01,NGA,NGA-OO,1.0000000000000000e+01,A,West Tropical Africa,,
1563,Nightingale I.,9.0000000000000000e+00,9.0000000000000000e+01,TDC,TDC-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
1564,Nihoa,6.0000000000000000e+00,6.3000000000000000e+01,HAW,HAW-HI,9.0000000000000000e+00,G,Hawai'ian Islands,,
1565,Nii-jima,3.0000000000000000e+00,3.8000000000000000e+01,JAP,JAP-HN,4.0000000000000000e+00,,Eastern Asia,,
1566,Niihua,6.0000000000000000e+00,6.3000000000000000e+01,HAW,HAW-HI,9.0000000000000000e+00,G,Hawai'ian Islands,,
1567,Nikumaroro,6.0000000000000000e+00,6.0000000000000000e+01,PHX,PHX-OO,9.0000000000000000e+00,D,Samoan Islands,,
1568,Nikunau,6.0000000000000000e+00,6.0000000000000000e+01,GIL,GIL-OO,9.0000000000000000e+00,D,Samoan Islands,,
1569,Ningshia Autonomous Region,3.0000000000000000e+00,3.6000000000000000e+01,CHI,CHI-NX,4.0000000000000000e+00,,Eastern Asia,Ningxia,
1570,Ningxia,3.0000000000000000e+00,3.6000000000000000e+01,CHI,CHI-NX,4.0000000000000000e+00,,Eastern Asia,,
1571,Ninigo Is.,4.0000000000000000e+00,4.2000000000000000e+01,BIS,BIS-OO,6.0000000000000000e+00,E,New Guinea,,
1572,Nishino-shima,3.0000000000000000e+00,3.8000000000000000e+01,OGA,OGA-OO,4.0000000000000000e+00,,Eastern Asia,,
1573,Nissan,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-NO,9.0000000000000000e+00,A,Melanesia,,one of Green Is.
1574,Niuafoou,6.0000000000000000e+00,6.0000000000000000e+01,TON,TON-OO,9.0000000000000000e+00,D,Samoan Islands,,
1575,Niuatoputapu,6.0000000000000000e+00,6.0000000000000000e+01,TON,TON-OO,9.0000000000000000e+00,D,Samoan Islands,,
1576,Niue,6.0000000000000000e+00,6.0000000000000000e+01,NUE,NUE-OO,9.0000000000000000e+00,D,Samoan Islands,,self-governing Territory Overseas in free association with New Zealand
1577,Niulakita,6.0000000000000000e+00,6.0000000000000000e+01,TUV,TUV-OO,9.0000000000000000e+00,D,Samoan Islands,,
1578,Niutao,6.0000000000000000e+00,6.0000000000000000e+01,TUV,TUV-OO,9.0000000000000000e+00,D,Samoan Islands,,
1579,Nizhny Novgorod,1.0000000000000000e+00,1.4000000000000000e+01,RUC,RUC-OO,1.0000000000000000e+00,,Europe,,
1580,Nomuka,6.0000000000000000e+00,6.0000000000000000e+01,TON,TON-OO,9.0000000000000000e+00,D,Samoan Islands,,
1581,Norfolk I.,5.0000000000000000e+00,5.0000000000000000e+01,NFK,NFK-NI,7.0000000000000000e+00,,Australia,,External Territory of Australia
1582,Norge,1.0000000000000000e+00,1.0000000000000000e+01,NOR,NOR-OO,1.0000000000000000e+00,,Europe,Norway,
1583,North Borneo,4.0000000000000000e+00,4.2000000000000000e+01,BOR,BOR-SB,6.0000000000000000e+00,C,Malay Islands,Sabah,
1584,North Carolina,7.0000000000000000e+00,7.8000000000000000e+01,NCA,NCA-OO,1.3000000000000000e+01,,North America,,
1585,North Caucasus,3.0000000000000000e+00,3.3000000000000000e+01,NCS,,2.0000000000000000e+00,A,Orient,,
1586,North Dakota,7.0000000000000000e+00,7.4000000000000000e+01,NDA,NDA-OO,1.3000000000000000e+01,,North America,,
1587,North Korea,3.0000000000000000e+00,3.8000000000000000e+01,KOR,KOR-NK,4.0000000000000000e+00,,Eastern Asia,,
1588,North Solomons,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-NO,9.0000000000000000e+00,A,Melanesia,,
1589,North Yemen,3.0000000000000000e+00,3.5000000000000000e+01,YEM,YEM-NY,2.0000000000000000e+00,A,Orient,,
1590,Northern Ireland,1.0000000000000000e+00,1.0000000000000000e+01,IRE,IRE-NI,1.0000000000000000e+00,,Europe,,
1591,Northern Marianas,6.0000000000000000e+00,6.2000000000000000e+01,MRN,MRN-NM,9.0000000000000000e+00,F,Micronesia,,
1592,Northern Rhodesia,2.0000000000000000e+00,2.6000000000000000e+01,ZAM,ZAM-OO,1.0000000000000000e+01,E,South Tropical Africa,Zambia,
1593,Northern Territory,5.0000000000000000e+00,5.0000000000000000e+01,NTA,NTA-OO,7.0000000000000000e+00,,Australia,,[Australia]
1594,Northwest Territories,7.0000000000000000e+00,7.0000000000000000e+01,NWT,,1.3000000000000000e+01,,North America,,
1595,Norway,1.0000000000000000e+00,1.0000000000000000e+01,NOR,NOR-OO,1.0000000000000000e+00,,Europe,,
1596,Norwegian Antarctic Territory,9.0000000000000000e+00,9.1000000000000000e+01,ANT,ANT-OO,1.9000000000000000e+01,,Antarctica and Subantarctic Islands,,
1597,Nottingham I.,7.0000000000000000e+00,7.0000000000000000e+01,NWT,NWT-OO,1.3000000000000000e+01,,North America,,
1598,Nova Scotia,7.0000000000000000e+00,7.2000000000000000e+01,NSC,NSC-OO,1.3000000000000000e+01,,North America,,
1599,Novaya Zemlya,3.0000000000000000e+00,3.0000000000000000e+01,WSB,WSB-OO,3.0000000000000000e+00,,Northern Asia,,
1600,Novgorod,1.0000000000000000e+00,1.4000000000000000e+01,RUW,RUW-OO,1.0000000000000000e+00,,Europe,,
1601,Novosibirsk,3.0000000000000000e+00,3.0000000000000000e+01,WSB,WSB-OO,3.0000000000000000e+00,,Northern Asia,,
1602,Novosibirskiye Ostrova,3.0000000000000000e+00,3.0000000000000000e+01,YAK,YAK-OO,3.0000000000000000e+00,,Northern Asia,,
1603,Nueva Esparta,8.0000000000000000e+00,8.1000000000000000e+01,VNA,VNA-OO,1.7000000000000000e+01,,West Tropical South America,,
1604,Nuevo León,7.0000000000000000e+00,7.9000000000000000e+01,MXE,MXE-NL,1.4000000000000000e+01,,Central America,,
